id_cliente;nome;email;ddd;telefone;estado;regiao;codigo_uf
1;Jonatas;jonatas@gmail.com;92;984300000;Amazonas;Norte;13
2;Jhonns;jhonns@hotmail.com;85;999000000;Bahia;Nordeste;29
3;Samuel;samuel@gmail.com;32;988500000;Paraíba;Nordeste;25
4;Danubia;danubia@gmail.com;31;989700000;Tocantins;Norte;17
5;Presley;presley@hotmail.com;28;999500000;Minas Gerais;Sudeste;31
6;Tonny;tonny@gmail.com;81;984200000;Rondônia;Norte;11
7;Elaine;elaine@gmail.com;11;975500000;Mato Grosso do Sul;Centro-Oeste;50
8;Tárcio;tarcio@hotmail.com;79;998400000;Tocantins;Norte;17
9;Alefy;alefy@gmail.com;11;995800000;Espírito Santo;Sudeste;32
10;Janete;janete@hotmail.com;34;996600000;Distrito Federal;Centro-Oeste;53
11;Waldomiro;waldomiro@hotmail.com;15;997300000;São Paulo;Sudeste;35
12;Jady;jady@yahoo.com.br;11;984400000;Pernambuco;Nordeste;26
13;Eliana;eliana@yahoo.com.br;11;970400000;Santa Catarina;Sul;42
14;Eleandro;eleandro@hotmail.com;67;999100000;Paraná;Sul;41
15;Tito;tito@gmail.com;21;979800000;Piauí;Nordeste;22
16;Gelden;gelden@gmail.com;27;998600000;Paraná;Sul;41
17;Jennifer;jennifer@hotmail.com;11;995200000;Acre;Norte;12
18;Ivy;ivy@gmail.com;21;985400000;Mato Grosso;Centro-Oeste;51
19;Manoel;manoel@gmail.com;11;999000000;Rio Grande do Sul;Sul;43
20;Kizy;kizy@gmail.com;11;991400000;Roraima;Norte;14
21;Alanderson;alanderson@hotmail.com;84;981800000;Distrito Federal;Centro-Oeste;53
22;Silas;silas@gmail.com;71;993300000;Goiás;Centro-Oeste;52
23;Rosiele;rosiele@gmail.com;19;999700000;Espírito Santo;Sudeste;32
24;Otávio;otavio@gmail.com;34;998100000;Mato Grosso;Centro-Oeste;51
25;Rayan;rayan@gmail.com;27;996100000;Rio Grande do Sul;Sul;43
26;Carmen;carmen@yahoo.com.br;11;991000000;Pernambuco;Nordeste;26
27;Joyce;joyce@yahoo.com.br;51;982500000;Amazonas;Norte;13
28;Nilo;nilo@gmail.com;85;986400000;São Paulo;Sudeste;35
29;Leandro;leandro@gmail.com;11;992000000;Sergipe;Nordeste;28
30;Gil;gil@gmail.com;11;979900000;Amapá;Norte;16
31;Andrei;andrei@gmail.com;11;968100000;Rio Grande do Sul;Sul;43
32;Leciana;leciana@gmail.com;11;949600000;São Paulo;Sudeste;35
33;Vítor;vitor@gmail.com;61;981700000;Bahia;Nordeste;29
34;Ceres;ceres@hotmail.com;71;991000000;Distrito Federal;Centro-Oeste;53
35;Kleber;kleber@gmail.com;21;988900000;Maranhão;Nordeste;21
36;Cristiano;cristiano@live.com;31;988800000;Alagoas;Nordeste;27
37;Janine;janine@gmail.com;62;981300000;Maranhão;Nordeste;21
38;Alberty;alberty@hotmail.com;15;981800000;Rio Grande do Norte;Nordeste;24
39;Yasmim;yasmim@gmail.com;21;999400000;Amazonas;Norte;13
40;Alyson;alyson@gmail.com;41;997600000;Espírito Santo;Sudeste;32
41;Matheus;matheus@gmail.com;19;981200000;Mato Grosso;Centro-Oeste;51
42;Cauê;caue@hotmail.com;11;993600000;Goiás;Centro-Oeste;52
43;Delaide;delaide@gmail.com;11;988400000;Paraná;Sul;41
44;Malcon;malcon@gmail.com;21;970600000;Paraná;Sul;41
45;Expedito;expedito@gmail.com;83;988100000;Pernambuco;Nordeste;26
46;Abraão;abraao@yahoo.com.br;21;994900000;Mato Grosso do Sul;Centro-Oeste;50
47;William;william@gmail.com;21;999700000;Goiás;Centro-Oeste;52
48;Handel;handel@outlook.com.br;62;993500000;Goiás;Centro-Oeste;52
